SERVICE,RESOURCE,AMOUNT,REPR
haproxy:1.7,MEMORY,712500000.0,RAW
elasticsearch:2.4,CPU-QUOTA,76.0,RAW
kibana:4,NET,435712.0,RAW
tsaianson/node-apt-app,NET,588800.0,RAW
haproxy:1.7,CPU-QUOTA,90.0,RAW
elasticsearch:2.4,DISK,29360128.0,RAW
mysql:5.6.32,NET,365056.0,RAW
hantaowang/logstash-postgres,CPU-QUOTA,38.0,RAW
kibana:4,DISK,18454937.0,RAW
library/postgres:9.4,NET,223744.0,RAW
library/postgres:9.4,MEMORY,2062500000.0,RAW
mysql:5.6.32,DISK,44459622.0,RAW
tsaianson/node-apt-app,CPU-QUOTA,119.0,RAW
library/postgres:9.4,DISK,20971520.0,RAW
haproxy:1.7,NET,353280.0,RAW
mysql:5.6.32,MEMORY,2062500000.0,RAW
hantaowang/logstash-postgres,NET,471040.0,RAW
tsaianson/node-apt-app,MEMORY,975000000.0,RAW
mysql:5.6.32,CPU-QUOTA,104.0,RAW
kibana:4,MEMORY,1312500000.0,RAW
library/postgres:9.4,CPU-QUOTA,90.0,RAW
haproxy:1.7,DISK,16777216.0,RAW
hantaowang/logstash-postgres,MEMORY,1762500000.0,RAW
elasticsearch:2.4,MEMORY,1012500000.0,RAW
hantaowang/logstash-postgres,DISK,24326963.0,RAW
tsaianson/node-apt-app,DISK,27682406.0,RAW
kibana:4,CPU-QUOTA,40.0,RAW
elasticsearch:2.4,NET,129536.0,RAW
