  1993 requests in 20.03s, 5.49MB read
  2005 requests in 20.03s, 5.52MB read
  2010 requests in 20.03s, 5.53MB read
  1984 requests in 20.03s, 5.46MB read
  1995 requests in 20.01s, 5.49MB read
  2015 requests in 20.01s, 5.55MB read
  2001 requests in 20.03s, 5.51MB read
  2010 requests in 20.02s, 5.54MB read
  1995 requests in 20.01s, 5.49MB read
  1987 requests in 20.03s, 5.47MB read
  2020 requests in 20.01s, 5.56MB read
  2010 requests in 20.01s, 5.53MB read
  2007 requests in 20.03s, 5.53MB read
  2015 requests in 20.01s, 5.55MB read
  2005 requests in 20.03s, 5.52MB read
  2010 requests in 20.02s, 5.53MB read
  2001 requests in 20.03s, 5.51MB read
  2005 requests in 20.03s, 5.52MB read
  1991 requests in 20.03s, 5.48MB read
  1999 requests in 20.03s, 5.50MB read
  2011 requests in 20.03s, 5.54MB read
  1984 requests in 20.03s, 5.46MB read
  2017 requests in 20.03s, 5.55MB read
  2010 requests in 20.01s, 5.53MB read
  1998 requests in 20.03s, 5.50MB read
  1996 requests in 20.03s, 5.50MB read
  2000 requests in 20.00s, 5.51MB read
  2000 requests in 20.03s, 5.51MB read
  2020 requests in 20.01s, 5.56MB read
  2003 requests in 20.03s, 5.51MB read
  2003 requests in 20.03s, 5.51MB read
  2003 requests in 20.03s, 5.51MB read
  2015 requests in 20.02s, 5.55MB read
  2005 requests in 20.01s, 5.52MB read
  1998 requests in 20.03s, 5.50MB read
  2001 requests in 20.03s, 5.51MB read
  2000 requests in 20.03s, 5.51MB read
  1989 requests in 20.03s, 5.48MB read
  2014 requests in 20.03s, 5.55MB read
  2011 requests in 20.03s, 5.54MB read
  2004 requests in 20.03s, 5.52MB read
  1994 requests in 20.03s, 5.49MB read
  2002 requests in 20.03s, 5.51MB read
  1982 requests in 20.03s, 5.46MB read
  1998 requests in 20.03s, 5.50MB read
  2006 requests in 20.03s, 5.52MB read
  2004 requests in 20.03s, 5.52MB read
  1998 requests in 20.03s, 5.50MB read
  2003 requests in 20.03s, 5.51MB read
  2004 requests in 20.03s, 5.52MB read
  2002 requests in 20.03s, 5.51MB read
  2002 requests in 20.03s, 5.51MB read
  2010 requests in 20.00s, 5.53MB read
  2010 requests in 20.00s, 5.53MB read
  1992 requests in 20.03s, 5.48MB read
  2009 requests in 20.03s, 5.53MB read
  1999 requests in 20.03s, 5.50MB read
  2004 requests in 20.03s, 5.52MB read
  1994 requests in 20.03s, 5.49MB read
  2004 requests in 20.03s, 5.52MB read
  1993 requests in 20.03s, 5.49MB read
  2005 requests in 20.02s, 5.52MB read
  1997 requests in 20.03s, 5.50MB read
  2010 requests in 20.03s, 5.53MB read
  1993 requests in 20.03s, 5.49MB read
  2020 requests in 20.02s, 5.56MB read
  1999 requests in 20.03s, 5.50MB read
  2010 requests in 20.03s, 5.53MB read
  2003 requests in 20.03s, 5.51MB read
  2001 requests in 20.03s, 5.51MB read
  2004 requests in 20.03s, 5.52MB read
  1990 requests in 20.03s, 5.48MB read
  2014 requests in 20.03s, 5.55MB read
  2005 requests in 20.01s, 5.52MB read
  2005 requests in 20.01s, 5.52MB read
  2004 requests in 20.03s, 5.52MB read
  2020 requests in 20.01s, 5.56MB read
  2003 requests in 20.03s, 5.51MB read
  2010 requests in 20.02s, 5.53MB read
  1999 requests in 20.03s, 5.50MB read
  1997 requests in 20.03s, 5.50MB read
  2006 requests in 20.03s, 5.52MB read
  2007 requests in 20.03s, 5.53MB read
  2007 requests in 20.03s, 5.53MB read
  1998 requests in 20.03s, 5.50MB read
  2002 requests in 20.03s, 5.51MB read
  1998 requests in 20.03s, 5.50MB read
  2009 requests in 20.03s, 5.53MB read
  2015 requests in 20.02s, 5.55MB read
  1998 requests in 20.03s, 5.50MB read
  1996 requests in 20.03s, 5.50MB read
  2005 requests in 20.01s, 5.52MB read
  2005 requests in 20.03s, 5.52MB read
  2015 requests in 20.00s, 5.55MB read
  2012 requests in 20.03s, 5.54MB read
  2011 requests in 20.03s, 5.54MB read
  1986 requests in 20.03s, 5.47MB read
  2005 requests in 20.03s, 5.52MB read
  2002 requests in 20.03s, 5.51MB read
  2005 requests in 20.02s, 5.52MB read
  2004 requests in 20.03s, 5.52MB read
  1999 requests in 20.03s, 5.50MB read
  2009 requests in 20.03s, 5.53MB read
  1999 requests in 20.03s, 5.50MB read
  2005 requests in 20.03s, 5.52MB read
  1996 requests in 20.03s, 5.50MB read
